"Elderly","Young","FC","gene"
2.90561420124217,3.14103845730704,-0.235424256064868,"HMGA2"
9.7329015315282,9.96746595328737,-0.23456442175917,"FN1"
7.96387493282352,8.19175306392598,-0.227878131102458,"CDKN1A"
6.42143096603115,6.6393745663631,-0.217943600331945,"GDF15"
7.02706815502,7.23685307046741,-0.209784915447405,"HMGA1"
1.88048960188406,1.67328032413885,0.207209277745212,"CDKN2A"
6.01009098190048,6.15195933475355,-0.141868352853071,"VEGFA"
5.81651854208018,5.70061564987259,0.115902892207596,"IGFBP3"
2.98363309197171,3.08876667011464,-0.105133578142933,"CDKN2B"
1.65654147254004,1.58079894393554,0.0757425286044979,"IL6"
4.9214483089825,4.98293847048975,-0.0614901615072423,"TP53"
6.38198079969901,6.43591675359216,-0.0539359538931485,"GLB1"
3.37097254051334,3.42339585671643,-0.0524233162030896,"LMNB1"
1.51628334519289,1.54160336019957,-0.0253200150066817,"MKI67"
5.05547881600607,5.03774051835399,0.0177382976520812,"SERPINE1"
4.07171061297666,4.08203130165986,-0.0103206886832012,"CCL2"
4.88277689021281,4.89217979791638,-0.00940290770356977,"RB1"
