"Age_Group","Gene","Mutated","Total","Frequency"
"Elderly","BRAF",68,115,59.1
"Elderly","NRAS",8,115,7
"Elderly","HRAS",3,115,2.6
"Elderly","KRAS",2,115,1.7
"Elderly","RET",0,115,0
"Elderly","TP53",1,115,0.9
"Elderly","PIK3CA",1,115,0.9
"Elderly","PTEN",0,115,0
"Elderly","AKT1",3,115,2.6
"Elderly","TERT",1,115,0.9
"Young_Adult","BRAF",225,371,60.6
"Young_Adult","NRAS",31,371,8.4
"Young_Adult","HRAS",14,371,3.8
"Young_Adult","KRAS",2,371,0.5
"Young_Adult","RET",3,371,0.8
"Young_Adult","TP53",2,371,0.5
"Young_Adult","PIK3CA",2,371,0.5
"Young_Adult","PTEN",2,371,0.5
"Young_Adult","AKT1",2,371,0.5
"Young_Adult","TERT",1,371,0.3
