gene,importance
PDLIM4,0.10419142075760719
KCNN4,0.08847903788748757
FN1,0.0761835498966826
SERPINA1,0.05533911236381312
KCNQ3,0.05441639781157498
COL8A2,0.0420737242783238
SYT12,0.034238849054215294
CYP1B1,0.03350488406283305
DCSTAMP,0.03141740476372944
STAC,0.027746699956115818
RPS29P11,0.026944380640238155
AF131216.3,0.02416728162866202
CYP2S1,0.022924017068063622
TMPRSS6,0.02277674165863824
AC009549.1,0.020490484694607194
AP002358.1,0.019109181128424493
S100A10,0.01904332143214693
RUNX2,0.018819549863320687
TIMP1,0.016487589156283056
B3GNT3,0.014342856898722356
SLC25A47P1,0.014315058160273333
SFTPB,0.013691760913914155
AC002401.4,0.011147505563259271
GJB3,0.009877046095363554
NR2F1-AS1,0.009520685143684433
ETHE1,0.009501880104009479
PLEKHA6,0.009465997235539671
GBP2,0.009280334074854624
CREB5,0.00921018008382228
LDHD,0.006379463702683526
IL1RAP,0.0058036277746948235
LAMB3,0.005547130771849873
LINC02861,0.005518172697400639
CAMK2N1,0.005438748770064152
RUNX1,0.005377132145151233
PLAU,0.005335300210263333
FAM20C,0.0053310306993983765
PLXNC1,0.005318458953740398
EVA1A,0.005274568094593769
LY6E,0.005231781391147575
ANXA1,0.005228934037138029
NGEF,0.00517744371654942
KRT19,0.005168286753652608
LGI3,0.005087113055921442
MET,0.005002095002866847
PLCD3,0.004850634669637838
LGALS3,0.004844444223040312
PTPRE,0.0048246268630509626
PDE5A,0.004821109123434705
SLC34A2,0.004800664451827243
KCP,0.004786912357334893
PROS1,0.004677001168358955
ARNTL,0.004644139443118183
SLC4A4,0.0032151597137953223
MAMLD1,0.0021872360366718786
MT1F,0.0020899260157178426
MXRA8,0.0017864934594377638
SFN,0.001546843723555879
GNA14,0.0013873828439903437
CST6,0.001268098381169752
MVP,0.0012409349616628103
DUSP15,0.001160570511157782
OTOS,0.0010434558324772143
DTX4,0.000675211222885642
TAGLN2,0.000620021341091232
ITPR1-DT,0.0006160021791737011
ALOX5,0.0005259777465920359
WNT4,0.0005142075845100556
SLC35F2,0.0005020733325527848
RIN1,0.0005000000000000001
ICAM1,0.000493150684931507
JAK3,0.00042538107054236076
TMPRSS4,0.00042450365156853747
ANXA2,0.0003767748949208737
SLC22A31,0.00037582937655628913
CTSH,0.0003613369467028001
PLAUR,0.0003311296349525725
BID,0.00031035268920828903
DUSP5,0.0002738095238095239
RSPO4,0.00023501762632197415
IRF5,0.0002150391921210409
NECTIN4,0.000202839756592292
TACSTD2,0.00019607843137254888
MACC1,0.00019257703081232487
CHI3L1,0.00018761726078799236
SLC27A6,0.00018735037990493726
WARS1P1,0.00018269230769230762
HGD,0.00018083182640144663
EBI3,0.00017391304347826077
CCL13,0.00016975308641975327
ALDH3B1,0.00016924445009051397
RASGEF1B,0.00010084033613445382
SDC4,9.030564989194177e-05
MTMR11,8.828380921404216e-05
EPHB3,0.0
GABRB2,0.0
C11orf80,0.0
CXCL17,0.0
AC254633.1,0.0
ABTB2,0.0
