"gene","direction"
"LGI3","C1_up"
"SLC4A4","C1_up"
"AF131216.3","C1_up"
"LDHD","C1_up"
"TRIM58","C1_up"
"OTOS","C1_up"
"TPO","C1_up"
"C16orf89","C1_up"
"SLC26A7","C1_up"
"MT1G","C1_up"
"HLF","C1_up"
"AL034548.2","C1_up"
"GNA14","C1_up"
"MMP15","C1_up"
"DUSP15","C1_up"
"KATNAL2","C1_up"
"FHL1","C1_up"
"BTBD11","C1_up"
"WASF3","C1_up"
"PPARGC1A","C1_up"
"IQGAP2","C1_up"
"HGD","C1_up"
"MT1F","C1_up"
"FAM167A","C1_up"
"SPX","C1_up"
"DIO1","C1_up"
"OGDHL","C1_up"
"PAIP2B","C1_up"
"KCNIP3","C1_up"
"ITPR1-DT","C1_up"
"MCRIP2","C1_up"
"OR2W3","C1_up"
"TP53INP2","C1_up"
"FBXO10","C1_up"
"SNTA1","C1_up"
"MPPED2","C1_up"
"DGLUCY","C1_up"
"LINC00886","C1_up"
"GPER1","C1_up"
"SORBS2","C1_up"
"ANKRD46","C1_up"
"ACSF2","C1_up"
"AC007613.1","C1_up"
"AL031710.1","C1_up"
"SOD3","C1_up"
"BDH1","C1_up"
"WNT4","C1_up"
"NRSN2-AS1","C1_up"
"ELMO1","C1_up"
"ACACB","C1_up"
